antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,antecedents_str,consequents_str,rule_str,support_count
0.272476,0.279391,0.096819,0.35533,1.2718,1.0,0.020691,1.117794,0.293753,0.212766,0.105381,0.350932,1,1,bed_bath_table,furniture_decor,bed_bath_table → furniture_decor,70
0.279391,0.272476,0.096819,0.346535,1.2718,1.0,0.020691,1.113332,0.296573,0.212766,0.101796,0.350932,1,1,furniture_decor,bed_bath_table,furniture_decor → bed_bath_table,70
0.069156,0.272476,0.059474,0.86,3.156244,1.0,0.040631,5.196601,0.733923,0.210784,0.807567,0.539137,1,1,home_confort,bed_bath_table,home_confort → bed_bath_table,43
0.272476,0.069156,0.059474,0.218274,3.156244,1.0,0.040631,1.190755,0.939031,0.210784,0.160196,0.539137,1,1,bed_bath_table,home_confort,bed_bath_table → home_confort,43
0.091286,0.128631,0.027663,0.30303,2.355816,1.0,0.01592,1.250226,0.633333,0.143885,0.200144,0.259042,1,1,cool_stuff,baby,cool_stuff → baby,20
0.128631,0.091286,0.027663,0.215054,2.355816,1.0,0.01592,1.157676,0.660476,0.143885,0.136201,0.259042,1,1,baby,cool_stuff,baby → cool_stuff,20
0.069156,0.128631,0.026279,0.38,2.954194,1.0,0.017384,1.405434,0.710644,0.153226,0.288476,0.292151,1,1,toys,baby,toys → baby,19
0.128631,0.069156,0.026279,0.204301,2.954194,1.0,0.017384,1.169844,0.759148,0.153226,0.145185,0.292151,1,1,baby,toys,baby → toys,19
0.092669,0.095436,0.019364,0.208955,2.189487,1.0,0.01052,1.143506,0.598759,0.114754,0.125496,0.205927,1,1,sports_leisure,health_beauty,sports_leisure → health_beauty,14
0.095436,0.092669,0.019364,0.202899,2.189487,1.0,0.01052,1.138287,0.60059,0.114754,0.121487,0.205927,1,1,health_beauty,sports_leisure,health_beauty → sports_leisure,14
0.035961,0.279391,0.017981,0.5,1.789604,1.0,0.007933,1.441217,0.457676,0.060465,0.306142,0.282178,1,1,home_construction,furniture_decor,home_construction → furniture_decor,13
0.279391,0.035961,0.017981,0.064356,1.789604,1.0,0.007933,1.030348,0.612284,0.060465,0.029454,0.282178,1,1,furniture_decor,home_construction,furniture_decor → home_construction,13
0.034578,0.095436,0.015214,0.44,4.610435,1.0,0.011914,1.615293,0.811149,0.13253,0.380917,0.29971,1,1,perfumery,health_beauty,perfumery → health_beauty,11
0.095436,0.034578,0.015214,0.15942,4.610435,1.0,0.011914,1.148519,0.865721,0.13253,0.129314,0.29971,1,1,health_beauty,perfumery,health_beauty → perfumery,11
0.024896,0.279391,0.015214,0.611111,2.187294,1.0,0.008259,1.852993,0.556673,0.052632,0.460333,0.332783,1,1,construction_tools_lights,furniture_decor,construction_tools_lights → furniture_decor,11
0.279391,0.024896,0.015214,0.054455,2.187294,1.0,0.008259,1.031262,0.753272,0.052632,0.030314,0.332783,1,1,furniture_decor,construction_tools_lights,furniture_decor → construction_tools_lights,11
0.092669,0.141079,0.015214,0.164179,1.16374,1.0,0.002141,1.027638,0.155072,0.06962,0.026895,0.136011,1,1,sports_leisure,housewares,sports_leisure → housewares,11
0.141079,0.092669,0.015214,0.107843,1.16374,1.0,0.002141,1.017008,0.163812,0.06962,0.016723,0.136011,1,1,housewares,sports_leisure,housewares → sports_leisure,11
0.141079,0.098202,0.015214,0.107843,1.098177,1.0,0.00136,1.010807,0.104084,0.067901,0.010691,0.131386,1,1,housewares,garden_tools,housewares → garden_tools,11
0.098202,0.141079,0.015214,0.15493,1.098177,1.0,0.00136,1.01639,0.099136,0.067901,0.016126,0.131386,1,1,garden_tools,housewares,garden_tools → housewares,11
0.069156,0.098202,0.011065,0.16,1.629296,1.0,0.004274,1.073569,0.414933,0.070796,0.068528,0.136338,1,1,computers_accessories,garden_tools,computers_accessories → garden_tools,8
0.098202,0.069156,0.011065,0.112676,1.629296,1.0,0.004274,1.049046,0.428298,0.070796,0.046753,0.136338,1,1,garden_tools,computers_accessories,garden_tools → computers_accessories,8
0.035961,0.098202,0.009682,0.269231,2.741603,1.0,0.00615,1.234039,0.658947,0.077778,0.189653,0.183911,1,1,home_construction,garden_tools,home_construction → garden_tools,7
0.098202,0.035961,0.009682,0.098592,2.741603,1.0,0.00615,1.06948,0.704426,0.077778,0.064967,0.183911,1,1,garden_tools,home_construction,garden_tools → home_construction,7
0.020747,0.279391,0.009682,0.466667,1.670297,1.0,0.003885,1.351141,0.409806,0.033333,0.259885,0.25066,1,1,furniture_living_room,furniture_decor,furniture_living_room → furniture_decor,7
0.091286,0.069156,0.009682,0.106061,1.533636,1.0,0.003369,1.041283,0.382909,0.06422,0.039646,0.12303,1,1,cool_stuff,toys,cool_stuff → toys,7
0.069156,0.091286,0.009682,0.14,1.533636,1.0,0.003369,1.056644,0.373806,0.06422,0.053607,0.12303,1,1,toys,cool_stuff,toys → cool_stuff,7
0.008299,0.055325,0.008299,1.0,18.075,1.0,0.00784,,0.95258,0.15,1.0,0.575,1,1,audio,watches_gifts,audio → watches_gifts,6
0.055325,0.008299,0.008299,0.15,18.075,1.0,0.00784,1.166707,1.0,0.15,0.142887,0.575,1,1,watches_gifts,audio,watches_gifts → audio,6
0.037344,0.069156,0.008299,0.222222,3.213333,1.0,0.005716,1.196799,0.715517,0.084507,0.164438,0.171111,1,1,telephony,computers_accessories,telephony → computers_accessories,6
0.069156,0.037344,0.008299,0.12,3.213333,1.0,0.005716,1.093927,0.73997,0.084507,0.085862,0.171111,1,1,computers_accessories,telephony,computers_accessories → telephony,6
0.042877,0.069156,0.008299,0.193548,2.79871,1.0,0.005334,1.154246,0.671484,0.08,0.133634,0.156774,1,1,stationery,toys,stationery → toys,6
0.069156,0.042877,0.008299,0.12,2.79871,1.0,0.005334,1.08764,0.690441,0.08,0.080578,0.156774,1,1,toys,stationery,toys → stationery,6
0.037344,0.091286,0.008299,0.222222,2.434343,1.0,0.00489,1.168346,0.612069,0.068966,0.144089,0.156566,1,1,telephony,cool_stuff,telephony → cool_stuff,6
0.091286,0.037344,0.008299,0.090909,2.434343,1.0,0.00489,1.058921,0.648402,0.068966,0.055643,0.156566,1,1,cool_stuff,telephony,cool_stuff → telephony,6
0.042877,0.020747,0.006916,0.16129,7.774194,1.0,0.006026,1.167571,0.910405,0.121951,0.143521,0.247312,1,1,stationery,luggage_accessories,stationery → luggage_accessories,5
0.020747,0.042877,0.006916,0.333333,7.774194,1.0,0.006026,1.435685,0.889831,0.121951,0.303468,0.247312,1,1,luggage_accessories,stationery,luggage_accessories → stationery,5
0.031812,0.069156,0.006916,0.217391,3.143478,1.0,0.004716,1.189411,0.704286,0.073529,0.159248,0.158696,1,1,electronics,computers_accessories,electronics → computers_accessories,5
0.069156,0.031812,0.006916,0.1,3.143478,1.0,0.004716,1.075765,0.732541,0.073529,0.070429,0.158696,1,1,computers_accessories,electronics,computers_accessories → electronics,5
0.023513,0.098202,0.006916,0.294118,2.995029,1.0,0.004607,1.277547,0.682153,0.060241,0.21725,0.18227,1,1,construction_tools_construction,garden_tools,construction_tools_construction → garden_tools,5
0.098202,0.023513,0.006916,0.070423,2.995029,1.0,0.004607,1.050463,0.73865,0.060241,0.048039,0.18227,1,1,garden_tools,construction_tools_construction,garden_tools → construction_tools_construction,5
0.008299,0.279391,0.006916,0.833333,2.982673,1.0,0.004597,4.323651,0.670293,0.024631,0.768714,0.429043,1,1,art,furniture_decor,art → furniture_decor,5
0.048409,0.069156,0.006916,0.142857,2.065714,1.0,0.003568,1.085984,0.542151,0.0625,0.079176,0.121429,1,1,auto,computers_accessories,auto → computers_accessories,5
0.069156,0.048409,0.006916,0.1,2.065714,1.0,0.003568,1.057323,0.554235,0.0625,0.054215,0.121429,1,1,computers_accessories,auto,computers_accessories → auto,5
0.055325,0.092669,0.006916,0.125,1.348881,1.0,0.001789,1.036949,0.273792,0.04902,0.035633,0.099813,1,1,watches_gifts,sports_leisure,watches_gifts → sports_leisure,5
