customer_state,negative_or_neutral,positive
AC,18.575172539600498,62.4248274603995
AL,94.02247828686671,315.9775217131333
AM,33.481175194835465,112.51882480516453
AP,15.364648890780659,51.63535110921934
BA,765.9392133613045,2574.0607866386954
CE,304.08245416679335,1021.9175458332066
DF,487.9995946206156,1640.0004053793843
ES,460.0221742523284,1545.9778257476717
GO,460.2514973701012,1546.7485026298987
MA,170.1577533874515,571.8422466125485
MG,2649.5993027474588,8904.40069725254
MS,163.50738297203895,549.492617027961
MT,206.3908059955611,693.6091940044389
PA,220.60883929747752,741.3911607025225
PB,121.5412524196082,408.4587475803918
PE,374.94329755860264,1260.0567024413974
PI,112.36832770869438,377.6316722913056
PR,1150.9727281019125,3868.0272718980877
RJ,2909.4223951840927,9777.577604815908
RN,110.07509653096592,369.92490346903406
RO,57.789425678757105,194.2105743212429
RR,10.548863417550901,35.4511365824491
RS,1248.2057300375989,4194.794269962401
SC,827.6271320422,2781.3728679578
SE,80.03376810272313,268.9662318972769
SP,9510.488340275455,31961.511659724543
TO,63.98114985862394,215.01885014137605
