main_category,negative_or_neutral,positive
auto,876.8358605151049,2994.1641394848953
baby,644.6589664236601,2201.3410335763397
bed_bath_table,2102.0503191888847,7177.949680811115
computers_accessories,1503.8267315835135,5135.173268416486
cool_stuff,805.483936965051,2750.5160630349487
electronics,571.494930529478,1951.505069470522
furniture_decor,1427.0384710010746,4872.961528998925
garden_tools,783.0590467064627,2673.9409532935374
health_beauty,1980.8653061753014,6764.134693824699
housewares,1306.9860282025716,4463.013971797428
perfumery,709.4419827262486,2422.5580172737514
sports_leisure,1725.3574656532041,5891.642534346795
telephony,939.1272223445168,3206.8727776554833
toys,862.565475805094,2945.434524194906
watches_gifts,1254.2082561798334,4282.791743820167
