feature,importance
num__freight_value_sum,0.1357930891659975
num__payment_value_sum,0.11852910129055741
num__basket_value,0.11754302225593134
num__price_sum,0.11109822637649036
num__purchase_month,0.09814582557513367
num__purchase_dayofweek,0.059178446294606446
num__payment_installments_max,0.047712717661437025
num__item_count,0.03582309852484305
num__purchase_year,0.018752106540297107
num__unique_products,0.01797329241132619
num__unique_sellers,0.013727777646936161
cat__customer_state_SP,0.013567779820467292
cat__customer_state_RJ,0.01350385038561637
cat__payment_type_mode_boleto,0.01315443338877317
cat__main_category_bed_bath_table,0.008903398978485622
cat__main_category_health_beauty,0.008500207186733543
cat__customer_state_MG,0.008469607223691927
cat__main_category_sports_leisure,0.007445029733836416
cat__main_category_computers_accessories,0.007356184300007659
cat__main_category_furniture_decor,0.006878194007438995
cat__main_category_housewares,0.006528065239530491
cat__main_category_watches_gifts,0.006418920673096389
cat__customer_state_PR,0.005957274534792782
cat__customer_state_RS,0.005570605353824099
cat__main_category_toys,0.005363802800487868
cat__main_category_garden_tools,0.005363730006021014
cat__main_category_office_furniture,0.005349294553104647
cat__main_category_cool_stuff,0.005185942458843401
cat__customer_state_BA,0.005075683514493799
cat__main_category_perfumery,0.004920236787485454
cat__main_category_baby,0.004893052124511024
cat__main_category_telephony,0.004820324208646554
cat__customer_state_SC,0.004472165302783332
cat__main_category_stationery,0.003948856523473003
cat__customer_state_CE,0.0035219579949614384
cat__main_category_fashion_bags_accessories,0.003258873327998615
cat__customer_state_DF,0.0031493800425154415
cat__main_category_pet_shop,0.003145831622758136
cat__customer_state_GO,0.0030422843229652077
cat__main_category_electronics,0.0030242213228397464
cat__customer_state_ES,0.0029007717126491974
cat__payment_type_mode_voucher,0.002774075413559826
cat__main_category_unknown,0.002584751095236332
cat__main_category_luggage_accessories,0.0025669209882973085
cat__customer_state_PE,0.002497774165743231
cat__payment_type_mode_debit_card,0.002414014356395441
cat__main_category_books_general_interest,0.0020496639928050363
cat__customer_state_PA,0.0018646934691079657
cat__customer_state_MA,0.0017516195498223028
cat__main_category_consoles_games,0.0017326251343935174
cat__main_category_home_appliances,0.0016000632129794005
cat__main_category_small_appliances,0.0015676769616124132
cat__main_category_audio,0.0015590011138653514
cat__customer_state_MS,0.0014086147589043468
cat__main_category_musical_instruments,0.001075779323411817
cat__main_category_furniture_living_room,0.0009840881940444016
cat__customer_state_PB,0.0009714231794557221
cat__customer_state_PI,0.0009640673603344054
cat__main_category_food,0.000926957990675358
cat__main_category_home_confort,0.0008913846874224005
cat__customer_state_AL,0.0008738087883491608
cat__customer_state_RN,0.000809818615275488
cat__customer_state_SE,0.0007608822936664297
cat__main_category_books_technical,0.0007232333948973328
cat__customer_state_TO,0.0006118050757169459
cat__main_category_art,0.0005853664884364637
cat__main_category_drinks,0.000578910247111029
cat__main_category_food_drink,0.0005640572570269921
cat__main_category_industry_commerce_and_business,0.0004983466820752858
cat__main_category_fashion_shoes,0.0004283868019080035
cat__main_category_computers,0.0003610830064049786
cat__customer_state_RO,0.0003253761791338941
cat__main_category_fixed_telephony,0.00031787100264511547
cat__main_category_costruction_tools_garden,0.00031517592259590294
cat__main_category_home_appliances_2,0.0003096949793569916
cat__main_category_construction_tools_safety,0.00029661839089533006
cat__customer_state_AM,0.00026593565234883356
cat__main_category_costruction_tools_tools,0.00026044608748220036
cat__main_category_fashion_male_clothing,0.00021909643866478844
cat__main_category_fashion_underwear_beach,0.00020732694916396392
cat__main_category_small_appliances_home_oven_and_coffee,0.00010100706861807435
cat__customer_state_AC,7.042775144971472e-05
cat__main_category_cine_photo,6.581779931050024e-05
cat__main_category_fashio_female_clothing,6.217351641036823e-05
cat__customer_state_AP,6.162880494907486e-05
cat__main_category_books_imported,3.7593076727330114e-05
cat__main_category_portateis_cozinha_e_preparadores_de_alimentos,2.8529637997977864e-05
cat__customer_state_RR,2.394651386141128e-05
cat__main_category_diapers_and_hygiene,2.1820086696793626e-05
cat__main_category_furniture_mattress_and_upholstery,1.993283120987296e-05
cat__main_category_arts_and_craftmanship,1.1734725287172592e-05
cat__main_category_party_supplies,8.944359753524858e-06
cat__main_category_home_comfort_2,8.034992114612597e-06
cat__main_category_flowers,5.838236039406526e-06
cat__main_category_fashion_sport,5.376230892520601e-06
cat__main_category_cds_dvds_musicals,2.0959710709808665e-06
cat__main_category_security_and_services,0.0
cat__main_category_fashion_childrens_clothes,0.0
cat__main_category_la_cuisine,0.0
cat__payment_type_mode_unknown,0.0
