module,check_name,passed,severity,notes
classification,best_classifier_model_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_classifier_baseline.joblib
classification,best_text_classifier_model_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_classifier_text_tfidf.joblib
classification,tabular_predict_sample,True,core,"{'predicted_label': 1, 'confidence': 0.6067249975005272, 'class_probabilities': {'0': 0.3932750024994728, '1': 0.6067249975005272}, 'raw_score': None}"
classification,tabular_predict_unknown_categories,True,core,"{'predicted_label': 1, 'confidence': 0.7065254421933648, 'class_probabilities': {'0': 0.2934745578066349, '1': 0.7065254421933648}, 'raw_score': None}"
classification,text_classifier_smoke_test,True,core,rows=3
clustering,gmm_model_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\gmm_model.joblib
clustering,kmeans_model_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\kmeans_model.joblib
clustering,predict_edge_rfm_sample,True,core,"{'cluster_model_used': 'kmeans', 'assigned_cluster': 1, 'segment_name': 'Low-value lapsed'}"
clustering,predict_known_rfm_sample,True,core,"{'cluster_model_used': 'kmeans', 'customer_unique_id': '0000366f3b9a7992bf8c76cfdf3221e2', 'assigned_cluster': 0, 'segment_name': 'High-value lapsed', 'use_log1p_transform': True}"
clustering,rfm_pca_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\rfm_pca_2d.joblib
clustering,rfm_scaler_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\rfm_standard_scaler.joblib
fpgrowth,association_rules_df_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\association_rules.csv
fpgrowth,fpgrowth_grid_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\fpgrowth_threshold_search.csv
fpgrowth,fpgrowth_top_itemsets_preview_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\top_frequent_itemsets_preview.csv
fpgrowth,fpgrowth_top_rules_preview_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\top_association_rules_preview.csv
fpgrowth,fpgrowth_top_rules_report_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\top_association_rules_report.csv
fpgrowth,frequent_itemsets_df_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\frequent_itemsets.csv
fpgrowth,rules_nonempty,True,core,"source=association_rules_csv, n_rules_total=96"
fpgrowth,rules_preview_recovered_from_fallback,True,support,rule_source=association_rules_csv; itemset_source=frequent_itemsets_csv
fpgrowth,rules_usable_for_ui,True,core,"source=association_rules_csv, n_rules_usable_for_ui=96"
processed_data,orders_base_final_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\orders_base_final.parquet
processed_data,product_lookup_processed_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\product_lookup.parquet
processed_data,ratings_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\ratings_df.parquet
processed_data,rfm_df_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\rfm_df.parquet
processed_data,transactions_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\transactions_df.parquet
processed_data,transactions_order_category_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\data\processed\transactions_order_category_df.parquet
recommendation,best_surprise_model_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_surprise_model.pkl
recommendation,candidate_items_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\candidate_items.csv
recommendation,item_knn_neighbors_model_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\item_knn_neighbors_model.pkl
recommendation,known_items_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\known_items.csv
recommendation,known_product_neighbors,True,core,"rows=10, no_self=True"
recommendation,known_user_top_n,True,core,"user=004b45ec5c64187465168251cd1c9c2f, rows=10"
recommendation,known_users_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\known_users.csv
recommendation,popularity_fallback_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\popular_products_fallback.csv
recommendation,rec_product_lookup_df_loaded,True,support,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\product_lookup.csv
recommendation,seen_items_map_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\seen_items_map.pkl
recommendation,surprise_deployment_bundle_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\surprise_deployment_bundle.pkl
recommendation,unknown_product_fallback,True,core,rows=10
recommendation,unknown_user_fallback,True,core,rows=10
registry,core_required_files_exist,True,core,All core files found
regression,best_regressor_model_loaded,True,core,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_regressor_baseline.joblib
regression,predict_sample,True,core,"{'predicted_payment_value_sum': 40.66462238215326, 'y_true_reference': 38.71, 'absolute_error_vs_reference': 1.9546223821532607}"
regression,predict_unknown_categories,True,core,{'predicted_payment_value_sum': 46.67108464890123}
