module,object_name,loaded,object_type,notes
classification,best_classifier_model,True,Pipeline,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_classifier_baseline.joblib
classification,best_text_classifier_model,True,Pipeline,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_classifier_text_tfidf.joblib
regression,best_regressor_model,True,TransformedTargetRegressor,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_regressor_baseline.joblib
clustering,kmeans_model,True,KMeans,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\kmeans_model.joblib
clustering,gmm_model,True,GaussianMixture,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\gmm_model.joblib
clustering,rfm_scaler,True,StandardScaler,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\rfm_standard_scaler.joblib
clustering,rfm_pca,True,PCA,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\rfm_pca_2d.joblib
recommendation,best_surprise_model,True,SVD,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\best_surprise_model.pkl
recommendation,seen_items_map,True,dict,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\seen_items_map.pkl
recommendation,surprise_deployment_bundle,True,dict,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\surprise_deployment_bundle.pkl
recommendation,item_knn_neighbors_model,True,KNNWithMeans,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\models\item_knn_neighbors_model.pkl
recommendation,rec_product_lookup_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\product_lookup.csv
recommendation,known_users_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\known_users.csv
recommendation,known_items_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\known_items.csv
recommendation,candidate_items_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\data\candidate_items.csv
recommendation,popularity_fallback_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\popular_products_fallback.csv
fpgrowth,frequent_itemsets_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\frequent_itemsets.csv
fpgrowth,association_rules_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\association_rules.csv
fpgrowth,fpgrowth_grid_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\fpgrowth_threshold_search.csv
fpgrowth,fpgrowth_top_rules_preview_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\top_association_rules_preview.csv
fpgrowth,fpgrowth_top_rules_report_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\metrics\top_association_rules_report.csv
fpgrowth,fpgrowth_top_itemsets_preview_df,True,DataFrame,C:\Users\trant\OneDrive\Tài liệu\Documents\UTE\BIGDATA\olist_ml_project\artifacts\predictions\top_frequent_itemsets_preview.csv
