feature,importance
num__price_mean,0.8894397550978296
num__item_count,0.09891030110478866
cat__customer_state_SP,0.003973727676271804
num__payment_installments_max,0.002264423527828905
cat__payment_type_mode_not_defined,0.0008802894183354089
cat__customer_state_MA,0.0002640972806821386
cat__customer_state_CE,0.0002486149058711916
cat__customer_state_PE,0.0002333940278831812
cat__customer_state_PB,0.00022145392644240923
cat__main_category_stationery,0.00019601110012133037
cat__customer_state_RJ,0.00019561741651541472
cat__customer_state_PA,0.00019452496633842734
cat__payment_type_mode_credit_card,0.0001900311013333951
cat__customer_state_RN,0.00018983914562200563
cat__main_category_housewares,0.0001857129299853484
cat__payment_type_mode_boleto,0.00017568895322146797
cat__customer_state_RO,0.00017202352937582344
cat__customer_state_PI,0.00016871360968663201
cat__customer_state_BA,0.00016823019631486026
cat__main_category_office_furniture,0.00015390176194758395
cat__main_category_watches_gifts,0.00014481113331063023
cat__customer_state_SE,0.00013902916965633237
cat__customer_state_AL,0.00011577211882502187
cat__payment_type_mode_voucher,0.00011328701249321408
cat__main_category_telephony,8.705555826482465e-05
cat__main_category_electronics,8.033703465818625e-05
cat__main_category_kitchen_dining_laundry_garden_furniture,6.425380936777733e-05
cat__main_category_luggage_accessories,6.308405256836652e-05
cat__customer_state_TO,6.298410593115508e-05
cat__main_category_cool_stuff,5.807478632177992e-05
cat__main_category_furniture_living_room,5.350877891645681e-05
cat__payment_type_mode_debit_card,5.162378968259623e-05
cat__main_category_fashion_bags_accessories,5.0978766027619265e-05
num__unique_products,5.082269233935011e-05
cat__customer_state_MT,4.487775765026115e-05
cat__main_category_industry_commerce_and_business,4.2650534194857376e-05
cat__main_category_construction_tools_construction,3.7461686538956875e-05
cat__main_category_musical_instruments,3.33738958214898e-05
cat__main_category_furniture_bedroom,2.8515231053604208e-05
cat__main_category_books_general_interest,2.6401985965137663e-05
num__unique_sellers,2.4966861443758796e-05
cat__main_category_home_appliances,2.177530129922263e-05
cat__main_category_dvds_blu_ray,2.0305019763023022e-05
cat__main_category_home_appliances_2,1.914818660215678e-05
cat__main_category_home_construction,1.6046089762138035e-05
cat__main_category_small_appliances,1.546990526146171e-05
cat__main_category_agro_industry_and_commerce,1.4166006450136401e-05
cat__main_category_drinks,1.396327187088456e-05
cat__customer_state_AC,1.2508620856923269e-05
cat__main_category_christmas_supplies,1.24457454276312e-05
cat__main_category_construction_tools_lights,1.1683321914673022e-05
cat__main_category_food,9.91208689518915e-06
cat__main_category_food_drink,8.508266972652836e-06
cat__main_category_books_technical,6.829004023283781e-06
cat__main_category_air_conditioning,6.592972710515177e-06
cat__main_category_home_confort,4.392863124133002e-06
cat__main_category_construction_tools_safety,3.2499717110252905e-06
cat__main_category_computers,1.8386770533786192e-06
cat__main_category_small_appliances_home_oven_and_coffee,5.424483432377585e-07
cat__main_category_flowers,3.9980253128963856e-07
