term,mean_tfidf
bom,0.04814192976733807
prazo,0.03376047967817579
recomendo,0.030114618829467848
entrega,0.027463867408190814
antes,0.02593040112713519
chegou,0.025169587738031206
recebi,0.02458941353258521
antes prazo,0.02191527319643559
entregue,0.02035658780520415
ótimo,0.019181584995453606
excelente,0.018304573466450345
gostei,0.01613208709655013
qualidade,0.016067716888881943
tudo,0.014884399947115295
bem,0.014875341130407149
veio,0.014071588884870225
ainda,0.012515943843280811
boa,0.011695071625154011
comprei,0.010823003646612988
rápida,0.010782146423007462
chegou antes,0.010672592998189618
super,0.010616176718766612
compra,0.010424831644523933
otimo,0.01037757914039758
dentro,0.009256313712794605
ok,0.009255680699969977
estou,0.009011199967477583
só,0.008150294886269463
perfeito,0.008074627195533908
ótima,0.008018138816417462
